ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT;BOOTH_ID;SUBINDUSTRY;SUBMARKET;SUBMARKET_1;MARKET_NAME;INDUSTRY_NAME
32400547;0326017             ;0;1;1;20140812;1;769496;109;1004;1004;三区市场;化妆品配件
32400548;0217638             ;1;9;10;20140812;8;763543;500;1003;1003;二区市场;电池/灯/电筒(电子)
32400549;02150601            ;0;1;1;20140812;1;766274;17;1003;1003;二区市场;五金工具/配件
32400550;0441916             ;2;42;44;20140812;24;787791;46;1006;1006;四区市场;花边
32400551;Y1-0544A            ;0;7;7;20140812;6;802728;143;1008;1008;篁园服装市场;牛仔
32400552;0569042             ;0;3;3;20140812;3;813731;146;1007;1007;五区市场;汽车用品
32400553;0212301             ;1;16;17;20140812;9;765905;15;1003;1003;二区市场;箱包
32400554;03218222            ;0;1;1;20140812;1;774533;107;1004;1004;三区市场;笔墨纸制品
32400555;0562230             ;6;318;324;20140812;152;801822;63;1007;1007;五区市场;床上用品
32400556;0210577B            ;0;5;5;20140812;4;759429;24;1003;1003;二区市场;伞具
32400557;0328513             ;1;3;4;20140812;4;779351;501;1004;1004;三区市场;生产企业直销中心-化妆品/美容美发
32400558;0219487             ;2;12;14;20140812;11;762474;32;1003;1003;二区市场;电子
32400559;0435058             ;1;13;14;20140812;7;779039;78;1006;1006;四区市场;日用百货
32400560;01A2187             ;6;8;14;20140812;12;751155;115;1001;1001;一区市场;玩具
32400561;0443993             ;3;8;11;20140812;9;786306;80;1006;1006;四区市场;鞋类
32400562;0327752             ;3;20;23;20140812;18;772927;104;1004;1004;三区市场;纽扣/拉链
32400563;01F3-178            ;2;21;23;20140812;15;752627;10;1001;1001;一区市场;饰品配件
32400564;0434871             ;0;2;2;20140812;2;778758;78;1006;1006;四区市场;日用百货
32400565;Y1-0542B            ;0;3;3;20140812;3;802740;143;1008;1008;篁园服装市场;牛仔
32400566;0447644             ;0;1;1;20140812;1;789357;86;1006;1006;四区市场;文胸内衣
32400567;01A53381            ;0;1;1;20140812;1;751051;7;1001;1001;一区市场;珠宝首饰
32400568;01A4805B            ;0;1;1;20140812;1;758920;7;1001;1001;一区市场;珠宝首饰
32400569;0322360             ;0;2;2;20140812;2;774923;107;1004;1004;三区市场;笔墨纸制品
32400570;0561495             ;2;23;25;20140812;19;812454;63;1007;1007;五区市场;床上用品
32400571;01AAA15B            ;0;3;3;20140812;2;756591;1;1001;1001;一区市场;花类
32400572;Y5-0214B            ;26;111;137;20140812;49;808104;148;1008;1008;篁园服装市场;童装
32400573;0216321             ;0;2;2;20140812;2;775449;18;1003;1003;二区市场;五金厨卫
32400574;01A6905             ;4;21;25;20140812;22;757458;9;1001;1001;一区市场;装饰工艺
