ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT
32400622;0212725             ;0;1;1;20140812;1
32400623;0321703             ;1;3;4;20140812;3
32400624;0436245             ;2;17;19;20140812;10
32400625;0323935B            ;0;5;5;20140812;5
32400626;0432464             ;6;27;33;20140812;11
32400627;0440334             ;0;4;4;20140812;4
32400628;0431820             ;11;35;46;20140812;26
32400629;01A5430A            ;0;5;5;20140812;3
32400630;0212359A            ;1;4;5;20140812;4
32400631;shop_103889         ;34;51;85;20140812;28
32400632;0214325             ;0;4;4;20140812;4
32400633;0215341             ;1;12;13;20140812;13
32400634;0432834A            ;0;2;2;20140812;2
32400635;0322107A            ;0;1;1;20140812;1
32400636;0216864             ;0;6;6;20140812;5
32400637;Y4-0484A            ;1;5;6;20140812;6
32400638;0570613             ;2;31;33;20140812;18
32400639;0446260             ;0;14;14;20140812;6
32400640;0445613A            ;0;7;7;20140812;7
32400641;01A1876A            ;1;16;17;20140812;15
32400642;01AA351             ;1;2;3;20140812;3
32400643;0436104A            ;0;3;3;20140812;3
32400644;0214939             ;0;1;1;20140812;1
32400645;0437023A01          ;0;1;1;20140812;1
32400646;01A87742            ;0;4;4;20140812;2
32400647;0212615             ;0;2;2;20140812;2
32400648;01A3062             ;3;2;5;20140812;3
32400649;Y1-0143B2           ;0;1;1;20140812;1
32400650;0432665B            ;3;8;11;20140812;10
32400651;0218382B            ;6;49;55;20140812;34
32400652;0448226             ;2;72;74;20140812;22
32400653;0565844             ;1;2;3;20140812;2
32400654;0440800             ;0;2;2;20140812;2
32400655;01A2289             ;0;4;4;20140812;4
32400656;01A3552             ;0;1;1;20140812;1
32400657;0218085             ;0;2;2;20140812;2
32400658;01A3615             ;0;1;1;20140812;1
32400659;01A2201B            ;3;24;27;20140812;22
32400660;Y5-0429A            ;0;3;3;20140812;3
32400661;0321143             ;0;5;5;20140812;5
32400662;0435065             ;1;3;4;20140812;4
32400663;0328772             ;10;24;34;20140812;21
32400664;0448550A            ;0;10;10;20140812;10
32400665;01A48792            ;0;4;4;20140812;1
32400666;0328280             ;1;2;3;20140812;2
32400667;01A52362            ;3;35;38;20140812;18
32400668;02145651            ;1;12;13;20140812;10
32400669;0214208             ;1;4;5;20140812;4
32400670;01A6125             ;0;12;12;20140812;12
32400671;0216951             ;0;2;2;20140812;2
32400672;01A1571A            ;0;1;1;20140812;1
32400673;0218655A            ;10;16;26;20140812;13
32400674;0441414B            ;0;3;3;20140812;3
32400675;03A1150             ;0;1;1;20140812;1
32400676;0438683A            ;0;3;3;20140812;3
32400677;Y3-0185             ;0;1;1;20140812;1
32400678;01A5300B            ;1;1;2;20140812;2
32400679;0213977B            ;0;2;2;20140812;2
32400680;shop_102849         ;0;22;22;20140812;15
32400681;shop_103523         ;0;2;2;20140812;2
32400682;0218090             ;7;107;114;20140812;44
32400683;01A1555A            ;0;2;2;20140812;2
32400684;0326661             ;0;2;2;20140812;2
32400685;0448958             ;0;1;1;20140812;1
32400686;0327927B            ;0;19;19;20140812;17
32400687;0442431A            ;2;8;10;20140812;7
32400688;01A5004B            ;0;2;2;20140812;2
32400689;01A7547A            ;2;2;4;20140812;3
32400690;shop_120996         ;2;4;6;20140812;6
32400691;Y5-0511A            ;0;2;2;20140812;2
32400692;01A35961            ;0;2;2;20140812;1
32400693;0442934             ;0;1;1;20140812;1
32400694;Y4-0162A            ;0;5;5;20140812;5
32400695;01A6721B            ;0;4;4;20140812;1
32400696;01A8594             ;0;1;1;20140812;1
32400697;01F3-062            ;2;4;6;20140812;5
32400698;shop_119434         ;3;11;14;20140812;7
32400699;0570561             ;8;76;84;20140812;49
32400700;01A4234             ;2;8;10;20140812;5
32400701;0436827             ;4;8;12;20140812;9
32400702;0436464             ;0;15;15;20140812;9
32400703;0211119A            ;0;1;1;20140812;1
32400704;01A4230A            ;1;3;4;20140812;3
32400705;0434860A            ;1;3;4;20140812;4
32400706;0322847             ;1;2;3;20140812;3
32400707;01A2498             ;0;2;2;20140812;2
32400708;01A7146             ;3;4;7;20140812;3
32400709;01A4366B            ;0;2;2;20140812;2
32400710;0212318             ;0;5;5;20140812;4
32400711;0450851             ;1;23;24;20140812;20
32400712;01A8226             ;0;5;5;20140812;4
32400713;0435894B            ;2;2;4;20140812;4
32400714;0434179             ;3;5;8;20140812;6
32400715;0438220             ;2;3;5;20140812;4
32400716;0219333             ;0;2;2;20140812;2
32400717;0219071A            ;1;2;3;20140812;3
32400718;0431758A            ;4;16;20;20140812;11
32400719;0431063             ;0;2;2;20140812;2
32400720;01A3621B1           ;0;3;3;20140812;3
32400721;01AA607             ;0;2;2;20140812;2
32400722;0431065A            ;0;1;1;20140812;1
32400723;shop_115481         ;9;113;122;20140812;58
32400724;0215212             ;1;12;13;20140812;9
32400725;0322542B            ;1;1;2;20140812;2
32400726;0323909             ;2;21;23;20140812;20
32400727;shop_111373         ;1;1;2;20140812;2
32400728;0214339             ;0;1;1;20140812;1
32400729;0450083             ;0;1;1;20140812;1
32400730;01AA932A            ;0;1;1;20140812;1
32400731;02149935            ;0;2;2;20140812;2
32400732;01A6278A            ;1;2;3;20140812;3
32400733;0326769             ;0;5;5;20140812;4
32400734;0435936             ;0;10;10;20140812;8
32400735;0434382             ;0;16;16;20140812;14
32400736;0563049             ;0;1;1;20140812;1
32400737;01A28762            ;0;1;1;20140812;1
32400738;0442172B            ;0;5;5;20140812;5
32400739;0447505             ;0;3;3;20140812;2
32400740;0561538             ;1;1;2;20140812;2
32400741;0325217             ;2;3;5;20140812;3
32400742;0325535             ;1;3;4;20140812;2
32400743;01A4646             ;0;3;3;20140812;1
32400744;01A3553A            ;1;4;5;20140812;4
32400745;0436166             ;2;7;9;20140812;6
32400746;01A3943A1           ;2;1;3;20140812;3
32400747;0446920             ;0;1;1;20140812;1
32400748;0215862             ;0;1;1;20140812;1
32400749;0324267             ;2;4;6;20140812;4
32400750;Y3-0081A            ;0;8;8;20140812;5
32400751;shop_102418         ;0;1;1;20140812;1
32400752;0435523             ;0;7;7;20140812;7
32400753;0321975             ;0;2;2;20140812;1
32400754;01A42841            ;0;3;3;20140812;2
32400755;0441551A            ;0;1;1;20140812;1
32400756;0445866B            ;0;1;1;20140812;1
32400757;0447325             ;0;1;1;20140812;1
32400758;shop_107304         ;1;7;8;20140812;8
32400759;0216047A            ;0;5;5;20140812;5
32400760;shop_127406         ;0;1;1;20140812;1
32400761;shop_109140         ;0;4;4;20140812;4
32400762;0218212B            ;0;2;2;20140812;2
32400763;0560313             ;9;29;38;20140812;23
32400764;0440743A            ;1;7;8;20140812;4
32400765;0324062             ;0;4;4;20140812;2
32400766;0441336A            ;0;1;1;20140812;1
32400767;0329137             ;3;3;6;20140812;6
32400768;04AA485             ;2;1;3;20140812;3
32400769;01A3777             ;0;2;2;20140812;1
32400770;shop_99271          ;0;2;2;20140812;2
32400771;0444211             ;0;5;5;20140812;5
32400772;01A2778B            ;2;17;19;20140812;15
32400773;0440535A            ;0;1;1;20140812;1
32400774;01A9585             ;0;1;1;20140812;1
32400775;01A7840A            ;0;1;1;20140812;1
32400776;0210139             ;0;1;1;20140812;1
32400777;0213708             ;0;3;3;20140812;2
32400778;0214877A            ;1;2;3;20140812;3
32400779;01A1507             ;1;29;30;20140812;22
32400780;0218740B            ;0;1;1;20140812;1
32400781;0218473             ;0;8;8;20140812;8
32400782;01A4926             ;0;1;1;20140812;1
32400783;01F2-094            ;0;3;3;20140812;3
32400784;0436785             ;0;1;1;20140812;1
32400785;0446023             ;0;22;22;20140812;9
32400786;Y5-0404             ;0;6;6;20140812;6
32400787;01A3395             ;0;4;4;20140812;2
32400788;0569089             ;21;42;63;20140812;29
32400789;0432207B            ;0;2;2;20140812;1
32400790;0217351             ;0;4;4;20140812;4
32400791;0321650B            ;1;1;2;20140812;2
32400792;shop_116577         ;3;3;6;20140812;5
32400793;0217185             ;0;12;12;20140812;9
32400794;Y4-0198             ;2;2;4;20140812;2
32400795;0211578A            ;0;2;2;20140812;2
32400796;shop_97095          ;0;3;3;20140812;3
32400797;0210124B            ;2;3;5;20140812;3
32400798;0436098A            ;1;2;3;20140812;3
32400799;01A2798A            ;0;2;2;20140812;2
32400800;0442589A            ;6;24;30;20140812;23
32400801;shop_102481         ;2;1;3;20140812;3
32400802;04310591            ;0;2;2;20140812;2
32400803;0431050B            ;4;39;43;20140812;25
32400804;0216525             ;0;4;4;20140812;4
32400805;0212730             ;0;1;1;20140812;1
32400806;0431041A            ;0;1;1;20140812;1
32400807;0431027A            ;0;1;1;20140812;1
32400808;shop_99589          ;0;1;1;20140812;1
32400809;Y3-0815             ;0;2;2;20140812;2
32400810;0324634B            ;0;6;6;20140812;5
32400811;shop_102233         ;3;7;10;20140812;9
32400812;0442316             ;2;42;44;20140812;29
32400813;0325323B            ;2;11;13;20140812;5
32400814;01A8420A            ;0;1;1;20140812;1
32400815;01A8734             ;1;5;6;20140812;4
32400816;0216850             ;2;42;44;20140812;33
32400817;Y1-0151A            ;0;3;3;20140812;3
32400818;0323936A            ;2;3;5;20140812;2
32400819;0322395             ;1;6;7;20140812;6
32400820;01A54931            ;0;1;1;20140812;1
32400821;0324448             ;1;2;3;20140812;2
32400822;shop_98801          ;2;5;7;20140812;5
32400823;0327467             ;1;11;12;20140812;11
32400824;01A3184             ;1;1;2;20140812;1
32400825;01A3213             ;0;2;2;20140812;2
32400826;0214517             ;2;6;8;20140812;6
32400827;0324338A            ;0;1;1;20140812;1
32400828;0215826             ;26;55;81;20140812;43
32400829;shop_99820          ;0;1;1;20140812;1
32400830;shop_127851         ;0;4;4;20140812;2
32400831;Y4-0382A            ;0;6;6;20140812;5
32400832;01A1648             ;1;1;2;20140812;2
32400833;0446173             ;0;1;1;20140812;1
32400834;0322429A            ;0;1;1;20140812;1
32400835;01A2461B            ;0;1;1;20140812;1
32400836;0438186             ;0;1;1;20140812;1
32400837;0449305A            ;0;2;2;20140812;2
32400838;0321725             ;0;1;1;20140812;1
32400839;0446972B            ;2;25;27;20140812;14
32400840;02104061            ;0;1;1;20140812;1
32400841;0447316             ;0;10;10;20140812;2
32400842;0211183B            ;0;2;2;20140812;1
32400843;shop_120917         ;1;5;6;20140812;4
32400844;0448261             ;0;1;1;20140812;1
32400845;0434581B            ;0;4;4;20140812;4
32400846;shop_112602         ;0;8;8;20140812;3
32400847;0562912             ;0;6;6;20140812;5
32400848;0434387B            ;0;2;2;20140812;2
32400849;01A2781             ;0;1;1;20140812;1
32400850;01A8445             ;0;2;2;20140812;2
32400851;01A6637A            ;0;7;7;20140812;6
32400852;0437465A            ;0;2;2;20140812;2
32400853;01A6900             ;0;4;4;20140812;4
32400854;01A4300             ;0;1;1;20140812;1
32400855;0436617             ;0;3;3;20140812;2
32400856;0430452B            ;2;2;4;20140812;4
32400857;0448821             ;0;1;1;20140812;1
32400858;01A5267B            ;0;1;1;20140812;1
32400859;01A1947A            ;1;2;3;20140812;3
32400860;01A3983             ;0;4;4;20140812;3
32400861;0437699B            ;0;2;2;20140812;2
32400862;0442443             ;1;42;43;20140812;33
32400863;0324158             ;1;4;5;20140812;4
32400864;shop_119671         ;2;9;11;20140812;11
32400865;0321885             ;2;5;7;20140812;6
32400866;01A2863             ;3;3;6;20140812;6
32400867;01A4807A            ;1;2;3;20140812;3
32400868;01A3469A            ;0;1;1;20140812;1
32400869;0325581             ;0;7;7;20140812;7
32400870;0219974             ;2;4;6;20140812;3
32400871;0440613             ;0;1;1;20140812;1
32400872;0212991             ;1;1;2;20140812;2
32400873;0438746             ;2;3;5;20140812;5
32400874;0442216             ;1;5;6;20140812;5
32400875;01AAA29             ;0;2;2;20140812;2
32400876;0219109             ;1;5;6;20140812;5
32400877;0445538             ;0;22;22;20140812;6
32400878;0435792A            ;1;5;6;20140812;5
32400879;shop_116566         ;3;36;39;20140812;9
32400880;0451799             ;0;2;2;20140812;1
32400881;0210318A            ;0;2;2;20140812;2
32400882;01A5645A            ;0;1;1;20140812;1
32400883;01A6259B            ;0;10;10;20140812;8
32400884;0570493             ;0;4;4;20140812;3
32400885;01A8570             ;4;17;21;20140812;14
32400886;0444248A            ;0;2;2;20140812;2
32400887;0438204B            ;0;3;3;20140812;3
32400888;0328792             ;2;25;27;20140812;22
32400889;01A6824             ;2;8;10;20140812;10
32400890;0219488             ;1;3;4;20140812;4
32400891;0216311             ;0;1;1;20140812;1
32400892;0216121             ;2;1;3;20140812;3
32400893;0440279B            ;0;1;1;20140812;1
32400894;01A3387A            ;0;1;1;20140812;1
32400895;0327408A            ;5;1;6;20140812;3
32400896;0212788             ;0;1;1;20140812;1
32400897;0436728             ;0;1;1;20140812;1
32400898;Y2-0516A            ;0;1;1;20140812;1
32400899;0434164             ;1;6;7;20140812;7
32400900;0216625A            ;0;1;1;20140812;1
32400901;shop_99675          ;1;2;3;20140812;3
32400902;0446967B            ;4;19;23;20140812;20
32400903;Y3-0027A            ;1;2;3;20140812;2
32400904;01A4375B            ;0;1;1;20140812;1
32400905;031057              ;0;1;1;20140812;1
32400906;0218272             ;2;7;9;20140812;8
32400907;01AA484A            ;0;1;1;20140812;1
32400908;01A6975A            ;2;15;17;20140812;12
32400909;shop_121621         ;1;1;2;20140812;2
32400910;0438917             ;1;1;2;20140812;2
32400911;0324592             ;1;1;2;20140812;2
32400912;shop_111903         ;1;4;5;20140812;5
32400913;0210887B            ;0;5;5;20140812;5
32400914;01A3265A            ;0;8;8;20140812;2
32400915;0441918             ;1;17;18;20140812;5
32400916;0568911             ;0;3;3;20140812;3
32400917;0564630             ;0;1;1;20140812;1
32400918;shop_97799          ;0;2;2;20140812;2
32400919;0210196             ;0;3;3;20140812;3
32400920;Y3-1027A            ;0;1;1;20140812;1
32400921;0325358             ;4;9;13;20140812;12
32400922;0430815A            ;1;1;2;20140812;2
32400923;0327072             ;0;10;10;20140812;5
32400924;0560482             ;1;3;4;20140812;4
32400925;shop_119128         ;3;5;8;20140812;7
32400926;0324622             ;0;2;2;20140812;1
32400927;shop_110668         ;2;8;10;20140812;5
32400928;0210603B            ;0;2;2;20140812;1
32400929;0210609             ;0;2;2;20140812;1
32400930;0322713             ;1;1;2;20140812;2
32400931;0325118B            ;0;2;2;20140812;2
32400932;0323177             ;1;1;2;20140812;2
32400933;shop_101366         ;0;1;1;20140812;1
32400934;0321317             ;0;1;1;20140812;1
32400935;01A9320             ;1;7;8;20140812;6
32400936;0450613             ;1;3;4;20140812;4
32400937;01A6019             ;1;12;13;20140812;13
32400938;01A2322             ;1;2;3;20140812;3
32400939;0570151             ;1;1;2;20140812;2
32400940;01A8442             ;0;2;2;20140812;2
32400941;0213567             ;1;17;18;20140812;17
32400942;shop_99671          ;0;1;1;20140812;1
32400943;0321824             ;2;3;5;20140812;4
32400944;0445109A            ;5;4;9;20140812;7
32400945;01A1838             ;0;2;2;20140812;2
32400946;shop_112258         ;0;1;1;20140812;1
32400947;0322946             ;0;34;34;20140812;25
32400948;0570177             ;1;8;9;20140812;8
32400949;0219251             ;0;2;2;20140812;1
32400950;shop_109218         ;0;1;1;20140812;1
32400951;0437539B            ;0;1;1;20140812;1
32400952;0324371             ;0;8;8;20140812;6
32400953;0322245             ;1;3;4;20140812;4
32400954;0321657             ;0;3;3;20140812;3
32400955;01A2174A            ;1;1;2;20140812;2
32400956;0210610             ;0;2;2;20140812;1
32400957;0441766             ;1;2;3;20140812;1
32400958;0322543             ;1;5;6;20140812;4
32400959;0445298             ;0;1;1;20140812;1
32400960;0446837A            ;3;6;9;20140812;6
32400961;01A7353A            ;3;10;13;20140812;7
32400962;0444208             ;2;1;3;20140812;3
32400963;01A2643             ;2;7;9;20140812;8
32400964;0438375B            ;0;2;2;20140812;2
32400965;0434896             ;2;10;12;20140812;11
32400966;0215057             ;0;21;21;20140812;19
32400967;01A1555B            ;0;1;1;20140812;1
32400968;0216163             ;5;19;24;20140812;22
32400969;shop_96358          ;0;4;4;20140812;3
32400970;0322465             ;0;1;1;20140812;1
32400971;shop_117169         ;0;2;2;20140812;2
32400972;01A3072             ;0;1;1;20140812;1
32400973;01A6932             ;2;1;3;20140812;2
32400974;03223111            ;0;8;8;20140812;6
32400975;NM202135A           ;0;3;3;20140812;3
32400976;0216549             ;1;4;5;20140812;5
32400977;0326669             ;0;2;2;20140812;1
32400978;01A8230             ;12;52;64;20140812;29
32400979;shop_110004         ;0;9;9;20140812;5
32400980;0441187             ;0;1;1;20140812;1
32400981;0441379B            ;1;7;8;20140812;7
32400982;0213960             ;0;2;2;20140812;2
32400983;01A8588             ;1;2;3;20140812;3
32400984;01A42812            ;0;4;4;20140812;4
32400985;NM302-11            ;0;1;1;20140812;1
32400986;0327176             ;3;4;7;20140812;3
32400987;01A7552             ;3;14;17;20140812;12
32400988;0219666             ;1;43;44;20140812;25
32400989;0451334             ;0;1;1;20140812;1
32400990;01A8598             ;0;13;13;20140812;7
32400991;0449001             ;0;1;1;20140812;1
32400992;0327725             ;1;2;3;20140812;3
32400993;0328233             ;0;1;1;20140812;1
32400994;0215228             ;2;8;10;20140812;8
32400995;shop_104541         ;1;1;2;20140812;2
32400996;0213382A            ;1;4;5;20140812;3
32400997;0219072B            ;2;2;4;20140812;4
32400998;0213876A            ;1;4;5;20140812;5
32400999;01A3826             ;0;4;4;20140812;4
32401000;0214283A            ;0;1;1;20140812;1
32401001;0435060B            ;2;4;6;20140812;5
32401002;0322435             ;0;8;8;20140812;6
32401003;Y2-0338B            ;0;4;4;20140812;3
32401004;0213042             ;0;1;1;20140812;1
32401005;0218262             ;8;30;38;20140812;11
32401006;0445977             ;0;1;1;20140812;1
32401007;Y1-0142B2           ;0;2;2;20140812;2
32401008;0444164             ;0;2;2;20140812;2
32401009;shop_109885         ;0;1;1;20140812;1
32401010;0216358A            ;1;15;16;20140812;4
32401011;0435636B            ;1;4;5;20140812;5
32401012;0434120             ;1;2;3;20140812;2
32401013;0445883A            ;0;1;1;20140812;1
32401014;01A2628A1           ;1;3;4;20140812;4
32401015;02137991            ;0;1;1;20140812;1
32401016;0560684             ;1;5;6;20140812;6
32401017;01F2-018            ;0;28;28;20140812;15
32401018;0218790B            ;0;4;4;20140812;3
32401019;01F1-143            ;6;1;7;20140812;6
32401020;0219348             ;0;1;1;20140812;1
32401021;0446792             ;0;3;3;20140812;1
32401022;Y4-0532A            ;0;5;5;20140812;3
32401023;0213120             ;0;1;1;20140812;1
32401024;01A4455A            ;1;14;15;20140812;12
32401025;01A9196             ;1;1;2;20140812;2
32401026;0328535             ;1;3;4;20140812;4
32401027;shop_105786         ;0;2;2;20140812;2
32401028;0213878             ;1;6;7;20140812;6
32401029;shop_111613         ;1;2;3;20140812;3
32401030;Y3-0937             ;5;38;43;20140812;26
32401031;0217222             ;0;1;1;20140812;1
32401032;NMnull0291          ;2;9;11;20140812;8
32401033;0210727             ;0;1;1;20140812;1
32401034;01A7955             ;5;1;6;20140812;5
32401035;0434576B            ;0;5;5;20140812;5
32401036;0437771B            ;0;9;9;20140812;6
32401037;01A8519             ;0;1;1;20140812;1
32401038;01AA620             ;3;4;7;20140812;7
32401039;0213104             ;1;2;3;20140812;3
32401040;01A1810A            ;0;1;1;20140812;1
32401041;0569019A            ;0;4;4;20140812;3
32401042;0327486             ;1;2;3;20140812;3
32401043;01A6814             ;0;1;1;20140812;1
32401044;Y2-0856A            ;0;3;3;20140812;3
32401045;0437566             ;2;12;14;20140812;10
32401046;0430205             ;0;1;1;20140812;1
32401047;01A4671             ;0;2;2;20140812;2
32401048;02192811            ;0;2;2;20140812;2
32401049;0436292             ;0;3;3;20140812;3
32401050;01A1697             ;0;1;1;20140812;1
32401051;0437700             ;0;1;1;20140812;1
32401052;01A2687             ;1;3;4;20140812;4
32401053;0218304             ;0;2;2;20140812;2
32401054;0328527             ;4;16;20;20140812;19
32401055;0219645             ;0;1;1;20140812;1
32401056;0215675             ;1;5;6;20140812;5
32401057;0217938             ;1;4;5;20140812;5
32401058;01A4815             ;0;5;5;20140812;5
32401059;0210008             ;0;3;3;20140812;2
32401060;0322091             ;4;5;9;20140812;7
32401061;Y2-0317A            ;0;2;2;20140812;2
32401062;01A1867B            ;0;1;1;20140812;1
32401063;0444326             ;0;2;2;20140812;2
32401064;0430713A            ;0;3;3;20140812;3
32401065;01A7866A            ;1;4;5;20140812;5
32401066;0210866             ;1;1;2;20140812;2
32401067;0216920             ;0;4;4;20140812;4
32401068;01F2-028            ;0;2;2;20140812;2
32401069;01A10611            ;8;29;37;20140812;20
32401070;03L3-3061B          ;1;19;20;20140812;18
32401071;01A7088             ;3;12;15;20140812;12
32401072;0217727B            ;3;7;10;20140812;8
32401073;0569106A            ;16;59;75;20140812;38
32401074;0432080B            ;0;3;3;20140812;3
32401075;01AA5731            ;1;2;3;20140812;3
32401076;0326409             ;3;39;42;20140812;33
32401077;0212264             ;0;13;13;20140812;9
32401078;0321889             ;1;1;2;20140812;2
32401079;Y4-0847A            ;0;3;3;20140812;3
32401080;0447206A            ;2;6;8;20140812;6
32401081;01A3558             ;0;6;6;20140812;6
32401082;shop_111861         ;0;1;1;20140812;1
32401083;0442975A            ;0;1;1;20140812;1
32401084;0324960             ;1;3;4;20140812;3
32401085;0326812             ;1;5;6;20140812;6
32401086;0324547A            ;1;1;2;20140812;2
32401087;01A9327             ;2;1;3;20140812;2
32401088;shop_103827         ;0;18;18;20140812;3
32401089;01A7870             ;0;1;1;20140812;1
32401090;01A4287A            ;2;2;4;20140812;4
